BRAND,SERIES,DETAIL_PICTURE,ARTICLE,BARCODE,NAME,ЦЕНА,AGE,COUNTRY,MATERIAL,PACK,WEIGHT,SIZE,GENRES,DESCRIPTION,SUPPLIER,PICTURES,YEAR
,,,G-PD001,6937890510903,G-PD001 Талисман Удача (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/c6bZ-Znrq4wva,
,,,G-PD002,6937890510910,G-PD002 Талисман Богатство (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/fateGYSOq4wvt,
,,,G-PD003,6937890510927,G-PD003 Талисман Вечная молодость (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/RNSORR7Kq4wwK,
,,,G-PD004,6937890510934,G-PD004 Талисман Счастье молодоженам (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/aiciOlPsq4wwb,
,,,G-PD005,6937890510941,G-PD005 Талисман Мир и спокойствие (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/gDMZP-y4q4wx2,
,,,G-PD006,6937890510958,G-PD006 Талисман Богатство (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/xYubZSi5q4wxJ,
,,,G-PD007,6937890510965,G-PD007 Талисман Удача и долголетие (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/hflKXlTqq4wxY,
,,,G-PD008,6937890510972,G-PD008 Талисман Исполнение желаний (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/1P6n9meUq4wxr,
,,,G-PD009,6937890510989,G-PD009 Талисман Удача в бизнесе (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/_2T1naM9q4wyH,
,,,G-PD010,6937890510996,G-PD010 Талисман Удача и долголетие (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/Yq6CC1Xbq4wyj,
,,,G-PD012,6937890511016,G-PD012 Талисман Богатство и счастье (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/gu1nxQOJq4wys,
,,,G-PD013,6937890511023,G-PD013 Талисман Бабочка (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/2Z3nQmY3q4wz8,
,,,G-PD014,6937890511030,G-PD014 Талисман Дракон (4/30),222.75,от 3 лет,Китай,ДЕРЕВО,,,34.0 x 0.6 x 21.0,,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/sB6Xdw8Lq4wzc,
,,,G-PD031,6937890511924,G-PD031 Снежинка 1 (елочная игрушка) (2/100),99.00,от 3 лет,Китай,ДЕРЕВО,,,"22,5 х 0,5 х 15,0",,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/Sbr1_YR9q4x25,
,,,G-PD032,6937890511931,G-PD032 Снежинка 2 (елочная игрушка) (2/100),99.00,от 3 лет,Китай,ДЕРЕВО,,,"22,5 х 0,5 х 15,0",,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/NN7j-1T2q4x2T,
,,,G-PD033,6937890511948,G-PD033 Снежинка 3 (елочная игрушка) (2/100),99.00,от 3 лет,Китай,ДЕРЕВО,,,"22,5 х 0,5 х 15,0",,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/5l89fpLfq4x2f,
,,,G-PD034,6937890511955,G-PD034 Снежинка 4 (елочная игрушка) (2/100),99.00,от 3 лет,Китай,ДЕРЕВО,,,"22,5 х 0,5 х 15,0",,"Сборная деревянная модель. Комплект включает в себя набор деталей, вырезанных на листовом дереве (фанера); схему сборки; наждачную бумагу. Детали скрепляются в порядке и очередности, обозначенной в инструкции.",,https://yadi.sk/i/wQ1bXtraq4x36,
